sex,frontal_axis,vertical_axis,lateral_axis,sensor_id,RSSI,Phase,frequent,Label
1,0.56517,0.87042,0.11175,4.0,-57.0,4.5636,923.75,1
1,0.56517,0.87042,0.11175,3.0,-57.0,6.0377,922.75,1
1,0.56517,0.87042,0.11175,1.0,-65.5,4.5437,922.75,1
1,0.56517,0.87042,0.11175,4.0,-60.0,4.5789,920.75,1
1,0.56517,0.87042,0.11175,1.0,-58.5,1.985,921.75,1
1,1.0694,0.29627,-0.013684,4.0,-67.0,1.0324,925.75,3
1,1.0694,0.29627,-0.013684,3.0,-50.0,5.0928,923.75,3
1,1.0694,0.29627,-0.013684,4.0,-67.0,5.7984,923.75,3
1,0.82312,-0.071196,-0.10491,3.0,-53.0,0.47707,925.25,3
1,1.0576,-0.28938,-0.03649,3.0,-50.5,0.046019,920.75,3
1,1.0576,-0.28938,-0.03649,3.0,-52.0,0.9434,924.25,3
1,1.1632,-0.27789,-0.059296,3.0,-50.5,5.6159,921.75,3
1,1.1632,-0.27789,-0.059296,4.0,-64.5,1.6858,921.75,3
1,0.9052,-0.20899,-0.15052,4.0,-67.5,4.5989,924.75,3
1,1.1397,-0.27789,-0.070699,3.0,-51.5,1.0907,923.75,3
1,0.92865,-0.19751,-0.16192,4.0,-65.5,0.37583,922.75,3
1,0.91693,-0.19751,-0.16192,3.0,-50.0,0.13652,920.25,3
1,0.91693,-0.19751,-0.16192,4.0,-66.5,6.0822,920.25,3
1,1.3156,-0.34679,-0.013684,3.0,-51.0,4.4915,923.25,3
1,0.9052,-0.19751,-0.16192,4.0,-68.0,1.2947,924.75,3
1,0.9052,-0.19751,-0.16192,4.0,-65.5,0.80687,922.25,3
1,1.2452,-0.34679,-0.025087,3.0,-50.5,4.7615,922.75,3
1,1.2452,-0.34679,-0.025087,3.0,-50.5,4.7691,922.75,3
1,0.87003,-0.19751,-0.17333,3.0,-50.5,5.7264,921.25,3
1,0.87003,-0.19751,-0.17333,4.0,-65.5,1.8929,921.25,3
1,0.9521,-0.18603,-0.15052,3.0,-50.5,6.0776,920.75,3
1,0.87003,-0.20899,-0.17333,3.0,-50.5,0.1534,920.25,3
1,0.87003,-0.20899,-0.17333,4.0,-67.5,6.0868,920.25,3
1,0.87003,-0.20899,-0.17333,4.0,-66.0,1.4021,921.75,3
1,0.89348,-0.19751,-0.16192,4.0,-69.0,4.513,924.75,3
1,0.89348,-0.19751,-0.16192,3.0,-50.5,5.0468,922.25,3
1,1.0342,-0.20899,-0.12771,3.0,-50.0,5.7417,921.25,3
1,1.0342,-0.20899,-0.12771,4.0,-66.0,1.8623,921.25,3
1,1.0342,-0.20899,-0.12771,3.0,-50.0,6.0945,920.75,3
1,1.3156,-0.36976,-0.013684,4.0,-67.5,4.941,924.25,3
1,0.92865,-0.18603,-0.15052,3.0,-50.0,5.3996,921.75,3
1,0.92865,-0.18603,-0.15052,4.0,-66.0,1.3514,921.75,3
1,1.0342,-0.23196,-0.11631,4.0,-66.0,0.84676,922.25,3
1,1.0342,-0.23196,-0.11631,3.0,-51.5,1.0124,923.75,3
1,1.0342,-0.23196,-0.11631,4.0,-67.0,5.4809,923.75,3
1,0.9052,-0.19751,-0.17333,4.0,-66.5,0.23163,922.75,3
1,1.1514,-0.30086,-0.047893,3.0,-50.5,6.0669,920.75,3
1,0.9052,-0.17454,-0.17333,3.0,-52.5,0.75012,924.25,3
1,1.3039,-0.33531,-0.0022806,4.0,-66.5,6.0163,920.25,3
1,1.3039,-0.33531,-0.0022806,4.0,-65.5,1.3039,921.75,3
1,0.94038,-0.18603,-0.16192,4.0,-66.5,5.3321,923.75,3
1,0.92865,-0.19751,-0.15052,4.0,-65.5,1.8623,921.25,3
1,0.92865,-0.19751,-0.15052,3.0,-50.5,6.0638,920.75,3
1,0.92865,-0.19751,-0.15052,4.0,-66.0,5.4272,920.75,3
1,1.1866,-0.30086,-0.03649,4.0,-66.0,5.8951,923.25,3
1,1.1866,-0.30086,-0.03649,4.0,-68.0,4.3918,924.75,3
1,0.94038,-0.17454,-0.15052,4.0,-65.5,0.21783,922.75,3
1,0.94038,-0.17454,-0.15052,3.0,-50.5,5.6987,921.25,3
1,1.0342,-0.20899,-0.11631,3.0,-50.5,6.0562,920.75,3
1,1.0342,-0.20899,-0.11631,4.0,-67.5,4.8689,924.25,3
1,1.0342,-0.20899,-0.11631,4.0,-66.5,5.9933,920.25,3
1,1.0342,-0.20899,-0.11631,4.0,-65.5,1.2947,921.75,3
1,0.88175,-0.17454,-0.16192,4.0,-66.5,5.8874,923.25,3
1,0.88175,-0.17454,-0.16192,4.0,-68.5,4.3519,924.75,3
1,0.88175,-0.17454,-0.16192,3.0,-50.5,5.01,922.25,3
1,1.1983,-0.28938,-0.03649,4.0,-66.5,5.3337,923.75,3
1,1.1983,-0.28938,-0.03649,3.0,-50.0,5.7202,921.25,3
1,0.99901,-0.17454,-0.13912,3.0,-50.0,5.7171,921.25,3
1,0.99901,-0.17454,-0.13912,4.0,-65.5,1.7794,921.25,3
1,1.1045,-0.24344,-0.070699,4.0,-67.5,4.8428,924.25,3
1,0.9521,-0.17454,-0.15052,3.0,-50.0,5.3643,921.75,3
1,0.9521,-0.17454,-0.15052,4.0,-65.5,1.2824,921.75,3
1,1.1632,-0.27789,-0.059296,3.0,-51.5,4.1233,923.75,3
1,1.1632,-0.27789,-0.059296,4.0,-66.5,5.3444,923.75,3
1,1.1632,-0.27789,-0.059296,3.0,-50.5,4.7063,922.75,3
1,1.0811,-0.23196,-0.10491,4.0,-67.5,4.7968,924.25,3
1,0.96383,-0.17454,-0.16192,3.0,-50.0,5.3827,921.75,3
1,0.96383,-0.17454,-0.16192,4.0,-65.5,4.3964,921.75,3
1,0.88175,-0.17454,-0.17333,4.0,-68.5,4.3565,924.75,3
1,0.88175,-0.17454,-0.16192,3.0,-50.0,5.6788,921.25,3
1,1.0459,-0.20899,-0.11631,4.0,-69.0,3.8748,925.25,3
1,1.1983,-0.28938,-0.047893,4.0,-65.5,0.7992,922.25,3
1,0.94038,-0.17454,-0.15052,3.0,-50.5,4.7461,922.75,3
1,0.89348,-0.18603,-0.16192,3.0,-50.0,5.7125,921.25,3
1,0.89348,-0.18603,-0.16192,4.0,-65.5,1.8546,921.25,3
1,0.89348,-0.18603,-0.16192,4.0,-69.5,3.8856,925.25,3
1,0.8583,-0.18603,-0.16192,4.0,-65.5,5.4963,920.75,3
1,0.9052,-0.16306,-0.16192,3.0,-50.0,5.3597,921.75,3
1,0.96383,-0.16306,-0.15052,4.0,-66.0,5.8982,923.25,3
1,0.96383,-0.16306,-0.15052,4.0,-68.0,4.3381,924.75,3
1,0.96383,-0.16306,-0.15052,3.0,-50.5,5.0207,922.25,3
1,0.92865,-0.16306,-0.15052,3.0,-51.5,4.154,923.75,3
1,0.92865,-0.17454,-0.16192,3.0,-50.5,4.7385,922.75,3
1,0.92865,-0.17454,-0.16192,3.0,-50.5,4.7308,922.75,3
1,1.2101,-0.28938,-0.03649,3.0,-50.0,5.6849,921.25,3
1,1.2101,-0.28938,-0.03649,4.0,-65.0,1.8423,921.25,3
1,1.2101,-0.28938,-0.03649,3.0,-50.0,6.0408,920.75,3
1,0.89348,-0.17454,-0.17333,3.0,-50.0,6.0608,920.75,3
1,0.89348,-0.17454,-0.17333,4.0,-67.5,1.7441,924.25,3
1,0.89348,-0.17454,-0.17333,4.0,-66.0,6.0316,920.25,3
1,0.9052,-0.17454,-0.16192,4.0,-68.0,4.3442,924.75,3
1,0.9052,-0.17454,-0.16192,3.0,-50.5,5.01,922.25,3
1,0.91693,-0.18603,-0.17333,3.0,-50.0,5.7003,921.25,3
1,0.91693,-0.18603,-0.17333,4.0,-65.0,1.8392,921.25,3
1,0.91693,-0.18603,-0.17333,3.0,-50.5,6.0485,920.75,3
1,0.89348,-0.17454,-0.16192,4.0,-65.5,5.5162,920.75,3
1,0.91693,-0.17454,-0.15052,3.0,-50.0,0.12732,920.25,3
1,0.88175,-0.17454,-0.16192,3.0,-50.0,5.3567,921.75,3
1,0.88175,-0.17454,-0.16192,4.0,-65.0,1.3622,921.75,3
1,1.0107,-0.19751,-0.11631,4.0,-67.5,4.4363,924.75,3
1,1.0107,-0.19751,-0.11631,4.0,-65.5,0.80994,922.25,3
1,0.91693,-0.17454,-0.17333,3.0,-50.0,5.7141,921.25,3
1,0.91693,-0.17454,-0.17333,4.0,-70.0,3.8902,925.25,3
1,0.88175,-0.15158,-0.16192,3.0,-50.0,6.0638,920.75,3
1,0.88175,-0.15158,-0.16192,4.0,-67.0,1.7242,924.25,3
1,0.88175,-0.15158,-0.16192,4.0,-66.0,6.0454,920.25,3
1,1.128,-0.24344,-0.070699,3.0,-50.0,5.3674,921.75,3
1,1.128,-0.24344,-0.070699,3.0,-51.0,4.4424,923.25,3
1,0.9052,-0.17454,-0.16192,4.0,-66.0,0.23163,922.75,3
1,0.9052,-0.17454,-0.16192,3.0,-50.0,5.7125,921.25,3
1,0.9052,-0.17454,-0.16192,4.0,-65.5,1.8684,921.25,3
1,0.88175,-0.17454,-0.16192,4.0,-65.5,4.3995,921.75,3
1,0.88175,-0.17454,-0.16192,4.0,-66.5,5.892,923.25,3
1,0.88175,-0.17454,-0.16192,3.0,-49.0,5.9089,922.25,3
1,0.94038,0.1355,-0.32157,3.0,-49.5,0.26538,922.25,3
1,0.94038,0.1355,-0.32157,3.0,-49.5,0.42338,922.25,3
1,0.94038,0.1355,-0.32157,3.0,-57.0,6.251,925.75,3
1,0.7176,0.89339,0.043332,1.0,-59.0,5.734,923.25,1
1,0.7176,0.89339,0.043332,1.0,-63.0,4.605,922.25,1
1,0.7176,0.89339,0.043332,4.0,-57.0,0.48627,921.25,1
1,0.7176,0.89339,0.043332,4.0,-58.0,0.25924,925.25,1
1,0.7176,0.89339,0.043332,4.0,-57.5,0.10431,924.25,1
1,0.7176,0.89339,0.043332,1.0,-61.5,4.3228,920.25,1
1,0.42446,0.96229,-0.082102,1.0,-61.5,2.3378,922.25,1
1,0.23685,1.0082,-0.12771,1.0,-62.0,0.88204,920.75,1
1,0.23685,1.0082,-0.12771,1.0,-62.5,6.1911,921.75,1
1,0.23685,1.0082,-0.12771,4.0,-57.0,4.7262,924.75,1
1,0.23685,1.0082,-0.12771,1.0,-66.5,5.2447,925.75,1
1,0.29548,0.99674,-0.082102,4.0,-57.5,1.0385,925.25,1
1,0.29548,0.99674,-0.082102,1.0,-64.0,0.32674,924.25,1
1,0.29548,0.99674,-0.082102,1.0,-62.5,1.3744,923.25,1
1,0.33066,0.99674,-0.070699,4.0,-56.0,4.9425,921.25,1
1,0.33066,0.99674,-0.070699,1.0,-66.0,5.6389,925.25,1
1,0.33066,0.99674,-0.070699,4.0,-57.0,5.8997,920.25,1
1,0.55344,0.89339,0.0091224,4.0,-57.0,5.4533,923.75,1
1,0.55344,0.89339,0.0091224,4.0,-56.0,4.8811,921.25,1
1,0.37756,0.97377,-0.059296,4.0,-57.0,5.892,920.25,1
1,0.37756,0.97377,-0.059296,1.0,-63.0,1.3238,923.25,1
1,0.37756,0.97377,-0.059296,4.0,-58.5,0.46173,925.75,1
1,0.31893,0.97377,-0.082102,4.0,-57.5,0.90812,925.25,1
1,0.31893,0.97377,-0.082102,4.0,-57.0,1.85,924.25,1
1,0.31893,0.97377,-0.082102,1.0,-63.0,1.0922,920.25,1
1,0.31893,0.97377,-0.082102,1.0,-65.0,6.1175,924.75,1
1,0.30721,0.99674,-0.070699,4.0,-56.5,4.7799,921.25,1
1,0.30721,0.99674,-0.070699,4.0,-57.5,1.7518,924.25,1
1,0.33066,0.98526,-0.082102,1.0,-62.0,5.3981,922.25,1
1,0.33066,0.98526,-0.082102,1.0,-62.0,1.8362,922.75,1
1,0.33066,0.98526,-0.082102,4.0,-56.5,5.2938,920.75,1
1,0.33066,0.98526,-0.082102,4.0,-57.0,4.9456,924.25,1
1,0.33066,0.98526,-0.082102,4.0,-56.5,1.1183,921.75,1
1,0.28376,1.0082,-0.11631,1.0,-62.5,5.3643,922.25,1
1,0.28376,1.0082,-0.11631,4.0,-57.0,0.0061359,922.75,1
1,0.28376,1.0082,-0.11631,1.0,-62.5,0.026078,921.25,1
1,0.28376,1.0082,-0.11631,4.0,-57.0,4.8934,924.25,1
1,0.54171,0.90487,0.0091224,4.0,-57.0,4.5053,924.75,1
1,0.54171,0.90487,0.0091224,1.0,-62.0,2.2519,922.25,1
1,0.54171,0.90487,0.0091224,1.0,-62.5,0.03835,921.25,1
1,0.54171,0.90487,0.0091224,4.0,-56.5,5.1833,920.75,1
1,0.54171,0.90487,0.0091224,1.0,-63.0,4.0697,920.25,1
1,0.29548,0.99674,-0.10491,4.0,-56.5,5.3843,923.75,1
1,0.29548,0.99674,-0.10491,4.0,-56.5,4.786,921.25,1
1,0.29548,0.99674,-0.10491,1.0,-63.0,0.58445,920.75,1
1,0.29548,0.99674,-0.10491,4.0,-56.5,5.7187,920.25,1
1,0.41273,0.93932,-0.025087,1.0,-62.5,5.5776,922.25,1
1,0.41273,0.93932,-0.025087,1.0,-60.5,1.2026,922.75,4
1,0.22513,0.89339,-0.17333,1.0,-48.5,2.1046,920.75,4
1,0.60034,1.0082,-0.047893,1.0,-50.5,5.9411,920.25,4
1,0.2603,0.99674,-0.059296,2.0,-58.5,0.99402,925.25,4
1,0.83485,0.67521,-0.13912,2.0,-55.5,5.9841,921.25,2
1,0.83485,0.67521,-0.13912,2.0,-55.5,6.2709,920.75,2
1,0.88175,0.66373,-0.082102,2.0,-57.0,0.75625,925.75,2
1,0.88175,0.64076,-0.093505,2.0,-57.5,0.7041,925.75,2
1,0.84658,0.66373,-0.12771,2.0,-55.0,6.1375,920.75,2
1,0.84658,0.66373,-0.12771,2.0,-56.0,5.6481,921.75,2
1,1.0928,0.5489,-0.013684,2.0,-57.5,0.73631,925.25,2
1,0.83485,0.66373,-0.12771,2.0,-58.0,0.60899,925.75,2
1,1.0928,0.56038,-0.013684,2.0,-56.0,6.0562,920.75,2
1,0.78795,0.67521,-0.15052,2.0,-56.0,1.353,923.75,2
1,0.78795,0.67521,-0.15052,2.0,-55.5,4.9977,922.75,2
1,0.8583,0.65224,-0.10491,2.0,-57.5,0.46019,925.75,2
1,0.8583,0.66373,-0.10491,2.0,-57.0,4.3212,924.25,2
1,0.8583,0.66373,-0.10491,2.0,-57.0,1.0017,924.75,2
1,0.89348,0.62928,-0.093505,2.0,-55.0,5.7754,921.25,2
1,0.89348,0.62928,-0.093505,2.0,-55.5,0.03835,920.25,2
1,0.88175,0.64076,-0.093505,2.0,-58.0,0.53996,925.75,2
1,0.88175,0.64076,-0.093505,2.0,-56.0,1.9282,922.75,2
1,0.88175,0.64076,-0.093505,2.0,-58.0,0.76085,925.25,2
1,0.88175,0.64076,-0.093505,2.0,-57.0,1.1689,924.25,2
1,0.88175,0.64076,-0.093505,2.0,-57.5,0.90198,924.75,2
1,0.88175,0.64076,-0.093505,2.0,-58.0,0.4694,925.75,2
1,0.88175,0.64076,-0.093505,2.0,-56.0,4.9594,922.75,2
1,0.88175,0.64076,-0.093505,2.0,-56.0,5.7693,921.25,2
1,0.88175,0.64076,-0.093505,2.0,-57.0,1.172,924.25,2
1,0.8583,0.62928,-0.10491,2.0,-58.0,0.48627,925.75,2
1,0.9052,0.62928,-0.093505,2.0,-57.0,4.22,924.25,2
1,0.9052,0.62928,-0.093505,2.0,-57.5,0.90505,924.75,2
1,0.96383,0.60631,-0.047893,2.0,-58.0,0.69489,925.25,2
1,0.96383,0.60631,-0.047893,2.0,-56.5,1.1275,924.25,2
1,0.88175,0.64076,-0.082102,2.0,-56.5,1.3637,923.75,2
1,0.88175,0.64076,-0.082102,2.0,-58.0,0.7133,925.25,2
1,0.88175,0.64076,-0.082102,2.0,-56.5,0.03835,920.25,2
1,1.1163,0.5489,-0.013684,2.0,-56.0,4.9379,922.75,2
1,1.1163,0.5489,-0.013684,2.0,-58.0,0.65961,925.25,2
1,1.1163,0.5489,-0.013684,2.0,-56.5,0.0061359,920.25,2
1,0.84658,0.65224,-0.10491,2.0,-58.0,0.69489,925.25,2
1,0.84658,0.65224,-0.10491,2.0,-56.5,0.021476,920.25,2
1,0.88175,0.64076,-0.070699,2.0,-56.5,4.5329,923.75,2
1,0.88175,0.64076,-0.070699,2.0,-56.5,5.8307,921.25,2
1,0.88175,0.64076,-0.070699,2.0,-56.5,6.0914,920.75,2
1,0.88175,0.64076,-0.070699,2.0,-55.5,5.4809,921.75,2
1,0.87003,0.64076,-0.10491,2.0,-57.0,1.3192,923.75,2
1,0.87003,0.64076,-0.10491,2.0,-56.0,6.0331,920.75,2
1,0.87003,0.65224,-0.10491,2.0,-56.5,1.8776,922.75,2
1,0.87003,0.65224,-0.10491,2.0,-57.5,1.1198,924.25,2
1,0.87003,0.65224,-0.10491,2.0,-56.0,5.6052,921.75,2
1,0.87003,0.65224,-0.10491,2.0,-56.0,5.326,922.25,2
1,0.87003,0.65224,-0.10491,2.0,-56.0,5.0054,922.75,2
1,0.89348,0.62928,-0.093505,2.0,-56.5,6.2786,920.25,2
1,0.89348,0.62928,-0.093505,2.0,-56.0,4.6955,923.25,2
1,0.89348,0.62928,-0.093505,2.0,-56.0,5.1895,922.25,2
1,0.88175,0.64076,-0.093505,2.0,-57.0,1.1321,924.25,2
1,0.88175,0.64076,-0.093505,2.0,-56.5,1.5769,923.25,2
1,0.88175,0.64076,-0.093505,2.0,-56.0,5.191,922.25,2
1,0.88175,0.64076,-0.093505,2.0,-56.5,4.4225,923.75,2
1,0.88175,0.62928,-0.10491,2.0,-57.0,0.15033,925.75,2
1,0.82312,0.68669,-0.13912,2.0,-56.5,0.33748,925.25,2
1,0.87003,0.64076,-0.11631,2.0,-54.0,4.9256,922.25,2
1,0.84658,0.66373,-0.13912,2.0,-56.5,0.474,924.75,2
1,0.77622,0.66373,0.020525,2.0,-55.0,5.6159,924.25,4
1,0.096148,0.93932,-0.16192,2.0,-57.0,6.1543,923.75,4
1,0.096148,0.93932,-0.16192,1.0,-66.5,0.51695,922.25,4
1,-0.51357,0.98526,-0.25315,4.0,-59.0,0.72864,924.25,1
1,-0.51357,0.98526,-0.25315,4.0,-60.5,5.6834,920.25,1
1,-0.51357,0.98526,-0.25315,3.0,-57.0,0.18715,923.25,1
1,-0.51357,0.98526,-0.25315,3.0,-58.0,1.6045,924.75,1
1,0.92865,0.26182,-0.13912,3.0,-52.0,5.5776,925.75,3
1,1.2335,-0.15158,-0.12771,1.0,-61.5,5.8537,923.75,3
1,1.0928,-0.25493,-0.03649,1.0,-58.5,4.5605,921.25,3
1,1.2101,-0.31234,0.077541,1.0,-60.5,5.507,920.25,3
1,1.2687,-0.32383,0.043332,1.0,-67.0,0.3252,925.75,3
1,1.0928,-0.28938,-0.059296,1.0,-60.5,4.9962,920.75,3
1,1.2687,-0.36976,0.0091224,1.0,-64.5,4.3442,924.75,3
1,1.2921,-0.38124,0.020525,1.0,-61.5,6.1804,922.75,3
1,1.2921,-0.38124,0.020525,1.0,-60.5,4.5268,921.25,3
1,1.0694,-0.26641,-0.082102,1.0,-61.0,0.38503,922.25,3
1,1.0928,-0.26641,-0.082102,1.0,-60.0,4.5636,921.25,3
1,1.0928,-0.26641,-0.082102,1.0,-66.0,0.76392,925.25,3
1,1.128,-0.28938,-0.059296,1.0,-62.0,2.5679,923.25,3
1,0.91693,-0.18603,-0.12771,3.0,-49.0,6.0945,924.25,3
1,0.91693,-0.18603,-0.12771,3.0,-49.0,6.0654,924.25,3
1,0.9521,-0.18603,-0.12771,3.0,-48.5,1.4174,921.75,3
1,1.2687,-0.33531,0.020525,3.0,-48.5,0.18868,923.25,3
1,1.0107,-0.23196,-0.10491,1.0,-65.5,0.11045,923.25,3
1,1.0107,-0.23196,-0.10491,1.0,-68.5,1.7303,924.75,3
1,0.88175,-0.18603,-0.13912,3.0,-50.0,4.9225,925.75,3
1,0.88175,-0.18603,-0.13912,3.0,-50.0,4.9103,925.75,3
1,0.91693,-0.19751,-0.12771,3.0,-49.5,6.2234,923.75,3
1,0.99901,-0.22048,-0.11631,1.0,-66.5,0.71023,922.75,3
1,0.99901,-0.22048,-0.11631,1.0,-66.5,5.3689,921.25,3
1,0.99901,-0.22048,-0.11631,3.0,-51.0,5.6205,925.25,3
1,1.1397,-0.28938,-0.013684,3.0,-50.0,6.2586,924.25,3
1,0.91693,-0.18603,-0.13912,1.0,-66.0,6.0592,923.25,3
1,0.91693,-0.18603,-0.13912,1.0,-65.0,1.1305,924.75,3
1,0.91693,-0.18603,-0.13912,1.0,-65.5,0.38196,922.25,3
1,1.1632,-0.30086,-0.03649,3.0,-48.5,6.2663,923.75,3
1,0.91693,-0.19751,-0.12771,3.0,-48.5,6.274,923.25,3
1,1.1514,-0.27789,-0.025087,3.0,-48.5,5.1496,924.75,3
1,1.0107,-0.19751,-0.093505,3.0,-49.5,4.4976,925.75,3
1,0.88175,-0.18603,-0.13912,3.0,-48.5,5.8552,923.75,3
1,0.96383,-0.19751,-0.11631,3.0,-49.0,4.7891,925.25,3
1,0.9052,-0.19751,-0.12771,3.0,-49.0,5.1542,924.75,3
1,1.0225,-0.20899,-0.10491,3.0,-49.5,4.5237,925.75,3
1,1.0342,-0.19751,-0.093505,3.0,-49.5,4.9256,925.25,3
1,0.92865,-0.18603,-0.10491,3.0,-50.0,4.5437,925.75,3
1,1.1163,-0.26641,-0.03649,3.0,-49.5,1.1643,921.75,3
1,0.94038,-0.19751,-0.11631,3.0,-49.0,6.277,923.25,3
1,0.91693,-0.18603,-0.11631,3.0,-49.5,4.5789,925.75,3
1,0.92865,-0.19751,-0.11631,3.0,-49.0,5.912,923.75,3
1,1.1045,-0.27789,-0.047893,3.0,-49.0,0.43565,922.75,3
1,1.0694,-0.23196,-0.082102,3.0,-50.0,1.5018,921.25,3
1,0.91693,-0.19751,-0.12771,3.0,-49.5,5.5361,924.25,3
1,1.0459,-0.24344,-0.082102,3.0,-50.0,4.5697,925.75,3
1,1.0459,-0.24344,-0.082102,3.0,-50.0,4.5667,925.75,3
1,1.1163,-0.26641,-0.025087,3.0,-50.0,4.9394,925.25,3
1,1.1163,-0.26641,-0.025087,3.0,-49.5,4.9824,925.25,3
1,0.96383,-0.19751,-0.11631,3.0,-52.0,5.3827,920.25,3
1,1.1045,-0.26641,-0.03649,3.0,-50.0,4.582,925.75,3
1,0.92865,-0.19751,-0.11631,3.0,-49.5,0.44792,922.75,3
1,0.91693,-0.19751,-0.11631,3.0,-49.5,5.5668,924.25,3
1,0.94038,-0.19751,-0.10491,3.0,-50.0,1.2103,921.75,3
1,0.94038,-0.19751,-0.10491,3.0,-50.0,1.1934,921.75,3
1,0.9052,-0.18603,-0.12771,3.0,-49.5,5.2002,924.75,3
1,0.92865,-0.18603,-0.10491,3.0,-50.0,4.6035,925.75,3
1,1.2804,-0.35827,0.031928,3.0,-49.5,1.2026,921.75,3
1,0.92865,-0.20899,-0.10491,3.0,-49.0,5.2186,924.75,3
1,1.128,-0.27789,-0.03649,3.0,-49.0,0.86363,922.25,3
1,1.0694,-0.24344,-0.047893,3.0,-49.0,5.9488,923.75,3
1,0.91693,-0.18603,-0.11631,3.0,-49.0,0.47247,922.75,3
1,0.9521,-0.19751,-0.10491,3.0,-50.0,1.58,921.25,3
1,0.9521,-0.19751,-0.10491,3.0,-49.0,4.9057,925.25,3
1,0.88175,-0.19751,-0.12771,3.0,-49.0,4.8857,925.25,3
1,0.9521,-0.19751,-0.11631,3.0,-51.5,5.3321,920.25,3
1,0.92865,-0.19751,-0.10491,3.0,-49.5,1.2057,921.75,3
1,1.1045,-0.26641,-0.025087,3.0,-49.0,5.2002,924.75,3
1,1.1045,-0.26641,-0.025087,3.0,-49.5,0.82682,922.25,3
1,0.9052,-0.19751,-0.11631,3.0,-49.5,0.83602,922.25,3
1,0.9052,-0.19751,-0.11631,3.0,-50.0,4.5498,925.75,3
